Simulation,Proposed_HSRS_Total_Throughput,Proposed_HSRS_PRB_Usage (%),Proposed_HSRS_Time_Taken,Proposed_HSRS_Violations_S1,Proposed_HSRS_Violations_S2,Proposed_HSRS_Violations_S3,Proposed_HSRS_Total_Violations,Optimal_ILP_Total_Throughput,Optimal_ILP_PRB_Usage (%),Optimal_ILP_Time_Taken,Optimal_ILP_Violations_S1,Optimal_ILP_Violations_S2,Optimal_ILP_Violations_S3,Optimal_ILP_Total_Violations,ADSS_Total_Throughput,ADSS_PRB_Usage (%),ADSS_Time_Taken,ADSS_Violations_S1,ADSS_Violations_S2,ADSS_Violations_S3,ADSS_Total_Violations,BestCQI_Total_Throughput,BestCQI_PRB_Usage (%),BestCQI_Time_Taken,BestCQI_Violations_S1,BestCQI_Violations_S2,BestCQI_Violations_S3,BestCQI_Total_Violations,NVS_Total_Throughput,NVS_PRB_Usage (%),NVS_Time_Taken,NVS_Violations_S1,NVS_Violations_S2,NVS_Violations_S3,NVS_Total_Violations,Min_required_datarate_KB,Optimal_ILP_Violation_Rate_S1,Optimal_ILP_Violation_Rate_S2,Optimal_ILP_Violation_Rate_S3,BestCQI_Violation_Rate_S1,BestCQI_Violation_Rate_S2,BestCQI_Violation_Rate_S3,NVS_Violation_Rate_S1,NVS_Violation_Rate_S2,NVS_Violation_Rate_S3,Proposed_HSRS_Violation_Rate_S1,Proposed_HSRS_Violation_Rate_S2,Proposed_HSRS_Violation_Rate_S3,ADSS_Violation_Rate_S1,ADSS_Violation_Rate_S2,ADSS_Violation_Rate_S3,Optimal_ILP_Violation_gap_S1,Optimal_ILP_Violation_gap_S2,Optimal_ILP_Violation_gap_S3,BestCQI_Violation_gap_S1,BestCQI_Violation_gap_S2,BestCQI_Violation_gap_S3,NVS_Violation_gap_S1,NVS_Violation_gap_S2,NVS_Violation_gap_S3,Proposed_HSRS_Violation_gap_S1,Proposed_HSRS_Violation_gap_S2,Proposed_HSRS_Violation_gap_S3,ADSS_Violation_gap_S1,ADSS_Violation_gap_S2,ADSS_Violation_gap_S3,Proposed_HSRS_App_1_Throughput,Proposed_HSRS_App_2_Throughput,Proposed_HSRS_App_3_Throughput,Proposed_HSRS_App_4_Throughput,Proposed_HSRS_App_5_Throughput,Optimal_ILP_App_1_Throughput,Optimal_ILP_App_2_Throughput,Optimal_ILP_App_3_Throughput,Optimal_ILP_App_4_Throughput,Optimal_ILP_App_5_Throughput,BestCQI_App_1_Throughput,BestCQI_App_2_Throughput,BestCQI_App_3_Throughput,BestCQI_App_4_Throughput,BestCQI_App_5_Throughput,NVS_App_1_Throughput,NVS_App_2_Throughput,NVS_App_3_Throughput,NVS_App_4_Throughput,NVS_App_5_Throughput,ADSS_App_1_Throughput,ADSS_App_2_Throughput,ADSS_App_3_Throughput,ADSS_App_4_Throughput,ADSS_App_5_Throughput
11,114.1798353727584,100.0,0.044632673263549805,0,0,2,2,122.66690659675199,100.0,1.093888521194458,0,0,2,2,102.64429252197121,80.80000000000001,0.08348894119262695,0,4,4,8,187.764740140992,100.0,0.03394770622253418,6,8,4,18,65.302138421184,71.2,0.021974802017211914,0,5,4,9,137.9,0.0,0.0,50.0,50.0,80.0,100.0,0.0,50.0,100.0,0.0,0.0,50.0,0.0,40.0,100.0,0.0,0.0,0.01201315393832001,1.0,1.0,0.910137390625,0.0,0.645854686084096,0.83650056156088,0.0,0.0,0.8025322398577599,0.0,0.71673313138576,0.6251491781524,679.7426585376,1192.9476585375999,10276.422214517761,600.3821258668801,12139.917942095999,686.5151561296001,1083.3178127408,10094.862781207681,454.94268851136,19766.293811644802,10066.756848993602,10336.528100438401,5995.52491886208,5635.67942001792,1797.2521875,1469.8206302975998,1478.6625067424,3541.45313915904,3364.8037656038405,3269.9887687824003,1022.6475,1449.6442203152,9397.85965938624,2166.63563106816,7497.016436952
12,110.2831080703968,100.0,0.04406857490539551,0,0,2,2,119.52926373729608,100.0,10.1067476272583,0,0,1,1,112.98787521383042,79.2,0.08273816108703613,0,3,3,6,179.527687124352,100.0,0.03502631187438965,2,5,4,11,69.1929396451776,71.2,0.022516965866088867,0,5,4,9,137.9,0.0,0.0,25.0,16.666666666666664,50.0,100.0,0.0,50.0,100.0,0.0,0.0,50.0,0.0,30.0,75.0,0.0,0.0,0.05787969417472,1.0,0.9215744499999999,0.84295207467928,0.0,0.668802173901952,0.84435948354424,0.0,0.0,0.88668760803856,0.0,0.71233806148864,0.8271601558406401,611.7354712784,1131.0075057792,10271.17351213632,608.6220000000001,11356.9181618424,579.7542212784,1168.7735982048,10217.219267915521,461.4330028896,18548.2784887904,6286.0087369968,7607.3517053856,7772.346733240321,8948.391355639682,3140.9585064144003,1867.1406341504,2033.4901643168002,3311.97826098048,3355.6044466022404,3112.8103291152,1144.2703146672,1524.7531298160002,10767.428455271041,2021.0833172678401,8257.793921059201
13,105.67526851943042,100.0,0.04574131965637207,0,0,2,2,105.88267621417904,100.0,1.2539939880371094,0,0,2,2,108.95739116794562,77.60000000000001,0.08111262321472168,0,2,4,6,172.436315429952,100.0,0.03400754928588867,4,6,3,13,75.8398663326528,80.80000000000001,0.022992610931396484,0,5,4,9,137.9,0.0,0.0,50.0,33.33333333333333,60.0,75.0,0.0,50.0,100.0,0.0,0.0,50.0,0.0,20.0,100.0,0.0,0.0,0.479365037708,1.0,0.7930436875,1.0,0.0,0.644043042175168,0.88028900660248,0.0,0.0,0.98184123318304,0.0,0.50628474696592,0.656824725208,558.7782840192,1031.3953170752,10362.4893880032,539.71181380032,10405.805225961602,507.9375028896,1247.8331264448,10327.04662413312,363.62681495616005,10473.6713106816,7120.578277276801,6396.0618721104,5883.10142753088,5388.37030513152,8744.778967579201,2735.9959497808,2423.708450744,3559.56957824832,3501.38251329216,2394.2198679504004,780.6717212784,1475.9346930384,11478.25876387008,2114.48737586688,6863.5054958400015
14,109.58074344141122,100.0,0.04357099533081055,0,0,2,2,115.54054344719046,100.0,10.111287593841553,0,0,2,2,113.47859930594882,80.80000000000001,0.08185076713562012,0,4,3,7,180.48712456656,100.0,0.033000946044921875,4,8,4,16,67.1197080386112,71.2,0.02115488052368164,0,5,4,9,137.9,0.0,0.0,50.0,33.33333333333333,80.0,100.0,0.0,50.0,100.0,0.0,0.0,50.0,0.0,40.0,75.0,0.0,0.0,0.08688808164295994,1.0,1.0,0.8113435473084399,0.0,0.6943006365464319,0.8445146866331199,0.0,0.0,0.89975288979424,0.0,0.6376783030801599,0.774438123796,622.4115646672001,1207.3392227232,10277.0430317856,494.6746896672001,11185.9125274512,572.135158056,1106.8334411120002,10133.01454161024,329.36925231168004,17718.2709608576,11388.0998173824,11743.373879159999,2512.7668051315204,2808.3864292646404,3773.1290538312005,2181.5915665936004,2055.2656302976,3056.99363453568,2794.95432304704,3109.7062673376004,1046.6334387040001,1838.8278156304002,9837.84640476288,2224.3147557792,8963.756494308
15,108.38313965673602,100.0,0.04397249221801758,0,0,2,2,114.54893659386248,100.0,10.114967823028564,0,0,1,1,107.31026279473922,80.80000000000001,0.08201813697814941,0,4,3,7,205.63567436428798,100.0,0.032860755920410156,8,8,3,19,64.9115909414112,71.2,0.02160191535949707,0,5,4,9,137.9,0.0,0.0,25.0,66.66666666666666,80.0,75.0,0.0,50.0,100.0,0.0,0.0,50.0,0.0,40.0,75.0,0.0,0.0,0.10532246752192,1.0,1.0,0.79060276623904,0.0,0.7199966292995199,0.8282783234512,0.0,0.0,0.90859946723296,0.0,0.76360447491904,0.6996067026313599,594.9923448336,1183.1181264448,10174.383240524161,494.50537817856,11092.508433888,586.1034396672,1097.0509406304,10103.271999770881,306.22987702272,17467.5003093696,5901.38716944,7856.0529447904,2660.5766171980804,3251.8158654643203,23382.267816398402,1937.3582878720001,2004.6129746496001,2800.0337070048,2704.37214147072,3434.4335309760004,862.6471882224,1595.7703146672002,8526.690419788802,2277.9303862694405,9634.1634367776
16,128.29824011269443,100.0,0.043735504150390625,0,0,1,1,134.16096750000003,100.0,10.107489347457886,0,1,1,2,121.86549372110403,79.2,0.08088803291320801,0,2,2,4,206.18876195097602,100.0,0.03248095512390137,6,8,3,17,85.0589316990336,71.2,0.02215266227722168,0,5,4,9,137.9,0.0,10.0,25.0,50.0,80.0,75.0,0.0,50.0,100.0,0.0,0.0,25.0,0.0,20.0,50.0,0.0,0.0001601355887265425,0.10849002219135997,1.0,1.0,0.7268895320927999,0.0,0.616631349364288,0.72709999547068,0.0,0.0,0.89364352958848,0.0,0.50281384107712,0.98799997650832,557.696566112,1187.9623477232,10320.49987413312,592.5373126444799,15814.775173948801,599.4132825744,1035.95734676,10126.975683888002,425.82093908928,17896.190152276802,9268.1662220672,10286.6749691776,3006.31275,2222.05725,15679.466200876801,2132.773127408,2197.958438704,3833.6865063571204,3614.8218816460803,5458.0000905864,1038.6381245184,1558.0982792032,10980.762185621761,2068.66012413312,10259.490937499999
17,127.105715848944,100.0,0.0428617000579834,0,0,1,1,136.28386411523522,100.0,10.110161304473877,0,0,1,1,123.1327979345856,79.2,0.08207964897155762,0,2,2,4,211.15526195097598,100.0,0.033991098403930664,8,7,2,17,88.4968221885216,80.80000000000001,0.024764299392700195,0,5,4,9,137.9,0.0,0.0,25.0,66.66666666666666,70.0,50.0,0.0,50.0,100.0,0.0,0.0,25.0,0.0,20.0,50.0,0.0,0.0,0.10849002219135997,1.0,0.8599543749999999,1.0,0.0,0.6997073483240319,0.7114068432443199,0.0,0.0,0.90030315545536,0.0,0.69789006004384,0.9173190621388,600.6831278896001,1192.7595335376002,10190.63721220608,535.9305,15678.0553298376,658.7667183888001,1208.9853137040002,10210.1081351136,445.68693908928,17949.594137916,4803.8188921632,3695.2453016640006,5019.32549017536,6360.280486707839,25815.7117258992,2902.5336025392003,2968.706570928,3002.92651675968,3033.4592046931202,5771.8631351136,991.4657835376,1481.719533056,9999.596271383041,2269.4083190016,11737.1657707752
18,130.3443816788064,100.0,0.04633665084838867,0,0,1,1,136.47998446024314,100.0,0.4284982681274414,0,0,1,1,128.7841669515744,80.80000000000001,0.08798384666442871,0,2,3,5,209.03321206656,100.0,0.03382706642150879,10,5,3,18,97.5990620527104,80.80000000000001,0.025757789611816406,0,5,4,9,137.9,0.0,0.0,25.0,83.33333333333334,50.0,75.0,0.0,50.0,100.0,0.0,0.0,25.0,0.0,20.0,75.0,0.0,0.0,0.1229098035136,1.0,0.9085035250000001,0.89504506283712,0.0,0.5969233744798721,0.71656381975264,0.0,0.0,0.82741412413312,0.0,0.51870099653248,0.63961834309984,651.8531283712,1131.8070345008,10315.81556148864,683.9660632224001,16160.8781445048,607.0323462784,1260.2493764448,10350.46817464128,434.90737644480004,17837.354092118403,1970.7974942208002,2956.196241331201,8838.676853905921,13277.37334350336,17222.7496665504,2891.7634444832,2689.9993836688,4030.76625520128,4255.95187760064,5668.7236049472,863.3056278896,1457.0281283712002,11004.01444486848,3478.41243446592,10612.5075043344
19,132.8169084396672,100.0,0.046932220458984375,0,0,1,1,141.7690248457054,100.0,10.117379903793335,0,0,2,2,131.5055830628736,82.39999999999999,0.08384466171264648,0,2,2,4,212.058261835392,100.0,0.03452348709106445,4,7,2,13,125.05026199780804,100.0,0.023804664611816406,0,5,4,9,137.9,0.0,0.0,50.0,33.33333333333333,70.0,50.0,0.0,50.0,100.0,0.0,0.0,25.0,0.0,20.0,50.0,0.0,0.0,0.06193565060095998,1.0,0.6915610009907199,1.0,0.0,0.599908918042048,0.70126220301664,0.0,0.0,0.7524086867776,0.0,0.6283308416550399,1.0,731.6651570928001,1109.090941112,10463.06099768832,653.03831206656,16547.968825416,643.8107811296001,1330.1848438704,10355.37823497408,557.82825057792,18839.754666986402,8102.0263806048,6699.08419768,4318.14598612992,2878.7639907532803,21816.762120316802,4934.706879816001,5259.175471760001,4000.9108195795206,3996.6780063571205,5974.7559396672,1169.1498453152,1686.1643769264,11010.84337586688,2725.9312494220803,11422.456150744802
20,129.43855988038084,100.0,0.04504799842834473,0,0,1,1,139.39695683484484,100.0,10.122191905975342,0,0,3,3,124.60581666435841,84.0,0.08288884162902832,1,1,3,5,217.2702650832,100.0,0.03387093544006348,6,8,3,17,87.96518087784,80.80000000000001,0.022291898727416992,0,5,4,9,137.9,0.0,0.0,75.0,50.0,80.0,75.0,0.0,50.0,100.0,0.0,0.0,25.0,8.333333333333332,10.0,75.0,0.0,0.0,0.07154364549371994,1.0,1.0,0.8029202505779199,0.0,0.64259824309984,0.73232399151928,0.0,0.0,0.82947409021024,0.24938124518399996,1.0,0.7037501554072,589.0664085376001,1132.9828151488,10360.85269486848,659.47218793344,16001.1600310632,648.184688704,1310.6198457968,10163.49075173376,443.82450173376003,18651.888340125603,6404.715605254401,5135.5773279776,3104.0060533977603,1182.4784965324802,31649.0211835392,2709.6114157616003,2559.1584488176,3574.0175690016004,3413.67863337984,5353.5201696144,756.6857806480001,1520.8495311296,11566.24482940416,2388.4914396672,10291.730862084001
