,Method,Slice,Violation_gap
309,Proposed_HSRS,Critical Slice,0.0
310,Proposed_HSRS,Performance Slice,0.0
311,Proposed_HSRS,Business Slice,90.405624942208
312,ADSS,Critical Slice,16.660623876266666
313,ADSS,Performance Slice,73.7718004126144
314,ADSS,Business Slice,74.26214837127999
315,Optimal ILP,Critical Slice,0.0
316,Optimal ILP,Performance Slice,0.0
317,Optimal ILP,Business Slice,22.96291009304
318,BestCQI,Critical Slice,100.0
319,BestCQI,Performance Slice,74.89660002889599
320,BestCQI,Business Slice,100.0
321,NVS,Critical Slice,0.0
322,NVS,Performance Slice,57.7418574364288
323,NVS,Business Slice,74.350214370952
324,Proposed_HSRS,Critical Slice,0.0
325,Proposed_HSRS,Performance Slice,0.0
326,Proposed_HSRS,Business Slice,95.928034107712
327,ADSS,Critical Slice,0.0
328,ADSS,Performance Slice,85.599971809984
329,ADSS,Business Slice,51.66128125
330,Optimal ILP,Critical Slice,0.0
331,Optimal ILP,Performance Slice,0.0
332,Optimal ILP,Business Slice,23.294176450528003
333,BestCQI,Critical Slice,100.0
334,BestCQI,Performance Slice,92.27684168914132
335,BestCQI,Business Slice,100.0
336,NVS,Critical Slice,0.0
337,NVS,Performance Slice,60.2544548497408
338,NVS,Business Slice,78.072620211364
339,Proposed_HSRS,Critical Slice,0.0
340,Proposed_HSRS,Performance Slice,0.0
341,Proposed_HSRS,Business Slice,98.129096752192
342,ADSS,Critical Slice,0.0
343,ADSS,Performance Slice,100.0
344,ADSS,Business Slice,83.406434276272
345,Optimal ILP,Critical Slice,0.0
346,Optimal ILP,Performance Slice,0.02108289200798404
347,Optimal ILP,Business Slice,7.896919496935996
348,BestCQI,Critical Slice,100.0
349,BestCQI,Performance Slice,100.0
350,BestCQI,Business Slice,100.0
351,NVS,Critical Slice,0.0
352,NVS,Performance Slice,51.678212465324805
353,NVS,Business Slice,74.70330149026
354,Proposed_HSRS,Critical Slice,0.0
355,Proposed_HSRS,Performance Slice,0.0
356,Proposed_HSRS,Business Slice,74.75832787216
357,ADSS,Critical Slice,0.0
358,ADSS,Performance Slice,0.0
359,ADSS,Business Slice,45.823527406960004
360,Optimal ILP,Critical Slice,0.0
361,Optimal ILP,Performance Slice,0.0
362,Optimal ILP,Business Slice,0.0
363,BestCQI,Critical Slice,100.0
364,BestCQI,Performance Slice,96.304754698336
365,BestCQI,Business Slice,82.288148883208
366,NVS,Critical Slice,0.0
367,NVS,Performance Slice,49.668473114886396
368,NVS,Business Slice,73.67225894374
369,Proposed_HSRS,Critical Slice,0.0
370,Proposed_HSRS,Performance Slice,0.0
371,Proposed_HSRS,Business Slice,56.23130768608
372,ADSS,Critical Slice,0.0
373,ADSS,Performance Slice,0.0
374,ADSS,Business Slice,78.8594530648
375,Optimal ILP,Critical Slice,0.0
376,Optimal ILP,Performance Slice,0.02108289200798404
377,Optimal ILP,Business Slice,8.784350319287993
378,BestCQI,Critical Slice,100.0
379,BestCQI,Performance Slice,100.0
380,BestCQI,Business Slice,100.0
381,NVS,Critical Slice,0.0
382,NVS,Performance Slice,61.9233117464128
383,NVS,Business Slice,71.610173745952
384,Proposed_HSRS,Critical Slice,0.0
385,Proposed_HSRS,Performance Slice,0.0
386,Proposed_HSRS,Business Slice,79.880031091072
387,ADSS,Critical Slice,0.0
388,ADSS,Performance Slice,81.40454910135999
389,ADSS,Business Slice,70.9981795972
390,Optimal ILP,Critical Slice,0.0
391,Optimal ILP,Performance Slice,0.0
392,Optimal ILP,Business Slice,24.559787471104
393,BestCQI,Critical Slice,100.0
394,BestCQI,Performance Slice,50.7125670295936
395,BestCQI,Business Slice,67.014162605952
396,NVS,Critical Slice,60.25859114133334
397,NVS,Performance Slice,57.143619953766404
398,NVS,Business Slice,74.123406206656
399,Proposed_HSRS,Critical Slice,0.0
400,Proposed_HSRS,Performance Slice,0.0
401,Proposed_HSRS,Business Slice,71.566787304952
402,ADSS,Critical Slice,55.97874711040001
403,ADSS,Performance Slice,67.856021723296
404,ADSS,Business Slice,69.12633594352
405,Optimal ILP,Critical Slice,0.0
406,Optimal ILP,Performance Slice,0.0
407,Optimal ILP,Business Slice,23.679362413312003
408,BestCQI,Critical Slice,100.0
409,BestCQI,Performance Slice,89.6533131553408
410,BestCQI,Business Slice,87.910734802648
411,NVS,Critical Slice,0.0
412,NVS,Performance Slice,60.7838386950976
413,NVS,Business Slice,78.49484330067999
